soc_id,titulo,dominio,nivel,fuente_log,mitre_id,tipo,implementacion,fichero_sigma,estado
SOC-MAIL-003,Fallo de autenticacion de correo en el dominio propio,email_phishing,high,proofpoint/tap,T1566.002,deteccion,wazuh+splunk,sigma/email_phishing/soc_mail_003_fallo_dmarc.yml,experimental
SOC-MAIL-004,Adjunto con formato usado para entrega de malware,email_phishing,high,proofpoint/tap,T1566.001,deteccion,wazuh+splunk,sigma/email_phishing/soc_mail_004_adjunto_sospechoso.yml,experimental
SOC-MAIL-005,Usuario pulsa una URL de phishing bloqueada o permitida,email_phishing,high,proofpoint/tap,T1566.002,deteccion,wazuh+splunk,sigma/email_phishing/soc_mail_005_url_pulsada.yml,experimental
SOC-MAIL-006,Regla de buzon con reenvio externo creada,email_phishing,high,m365/exchange,T1114.003|T1564.008,deteccion,wazuh+splunk,sigma/email_phishing/soc_mail_006_regla_buzon_externa.yml,stable
SOC-MAIL-007,Envio masivo desde una cuenta interna comprometida,email_phishing,medium,,T1534,correlacion,solo-splunk,sigma/email_phishing/soc_mail_007_envio_masivo_interno.yml,experimental
SOC-MAIL-008,HTML smuggling en adjunto,email_phishing,high,proofpoint/tap,T1027.006,deteccion,wazuh+splunk,sigma/email_phishing/soc_mail_008_html_smuggling.yml,experimental
SOC-EDR-001,Volcado de memoria de LSASS,endpoint_ransomware,critical,windows/process_creation,T1003.001,deteccion,wazuh+splunk,sigma/endpoint_ransomware/soc_edr_001_volcado_lsass.yml,experimental
SOC-EDR-002,Acceso a memoria de LSASS con permisos de lectura,endpoint_ransomware,high,windows/process_access,T1003.001,deteccion,wazuh+splunk,sigma/endpoint_ransomware/soc_edr_002_acceso_lsass_sysmon.yml,experimental
SOC-EDR-003,Destruccion de copias de seguridad y puntos de restauracion,endpoint_ransomware,critical,windows/process_creation,T1490,deteccion,wazuh+splunk,sigma/endpoint_ransomware/soc_edr_003_borrado_copias_sombra.yml,stable
SOC-EDR-004,Defensas de seguridad deshabilitadas,endpoint_ransomware,high,windows/process_creation,T1562.001,deteccion,wazuh+splunk,sigma/endpoint_ransomware/soc_edr_004_defensas_deshabilitadas.yml,experimental
SOC-EDR-005,LOLBin usado para descargar y ejecutar,endpoint_ransomware,high,windows/process_creation,T1105|T1218,deteccion,wazuh+splunk,sigma/endpoint_ransomware/soc_edr_005_lolbins_descarga.yml,experimental
SOC-EDR-006,PowerShell codificado u ofuscado,endpoint_ransomware,high,windows/process_creation,T1027|T1059.001,deteccion,wazuh+splunk,sigma/endpoint_ransomware/soc_edr_006_powershell_ofuscado.yml,experimental
SOC-EDR-007,Cifrado masivo de ficheros por ransomware,endpoint_ransomware,critical,windows/file_event,T1486,deteccion,wazuh+splunk,sigma/endpoint_ransomware/soc_edr_007_cifrado_masivo.yml,experimental
SOC-EDR-008,Tarea programada sospechosa,endpoint_ransomware,high,windows/process_creation,T1053.005,deteccion,wazuh+splunk,sigma/endpoint_ransomware/soc_edr_008_persistencia_tarea.yml,experimental
SOC-EDR-009,Persistencia por claves de arranque del registro,endpoint_ransomware,high,windows/registry_event,T1547.001,deteccion,wazuh+splunk,sigma/endpoint_ransomware/soc_edr_009_persistencia_registro.yml,experimental
SOC-EDR-010,Inyeccion de codigo en proceso remoto,endpoint_ransomware,high,windows/create_remote_thread,T1055,deteccion,wazuh+splunk,sigma/endpoint_ransomware/soc_edr_010_inyeccion_procesos.yml,experimental
SOC-EDR-011,Named pipe caracteristico de framework de C2,endpoint_ransomware,critical,windows/pipe_created,T1071,deteccion,wazuh+splunk,sigma/endpoint_ransomware/soc_edr_011_pipe_c2.yml,experimental
SOC-EDR-012,Ejecucion de binario desde una ruta de escritura de usuario,endpoint_ransomware,medium,windows/process_creation,T1204.002,deteccion,wazuh+splunk,sigma/endpoint_ransomware/soc_edr_012_ejecucion_desde_temp.yml,experimental
SOC-NET-001,Patron de beaconing hacia un destino externo,network_c2,medium,proxy,T1071.001,deteccion,wazuh+splunk,sigma/network_c2/soc_net_001_beaconing.yml,experimental
SOC-NET-002,Canal de mando sobre un servicio legitimo,network_c2,high,proxy,T1102,deteccion,wazuh+splunk,sigma/network_c2/soc_net_002_c2_servicio_legitimo.yml,experimental
SOC-NET-003,Tunelizacion o exfiltracion por DNS,network_c2,high,dns,T1071.004,deteccion,wazuh+splunk,sigma/network_c2/soc_net_003_dns_tunel.yml,experimental
SOC-NET-004,Explotacion de vulnerabilidad web contra un servicio publicado,network_c2,high,webserver,T1190,deteccion,wazuh+splunk,sigma/network_c2/soc_net_004_explotacion_web.yml,experimental
SOC-NET-005,Interaccion con webshell,network_c2,critical,webserver,T1505.003,deteccion,wazuh+splunk,sigma/network_c2/soc_net_005_webshell.yml,experimental
SOC-NET-006,Volumen de subida anomalo hacia el exterior,network_c2,medium,proxy,T1048,deteccion,wazuh+splunk,sigma/network_c2/soc_net_006_exfiltracion_volumen.yml,experimental
