zta_id,pilar,funcion_cisa,tenet_nist_800_207,etapa_madurez,titulo,severidad,mitre_id,mitre_tactica,fuente_log,wazuh_rule_id,splunk_search,estado,notas
ZTA-DEV-002,Dispositivos,Asset & Supply Chain Risk Management,T1 - Todo recurso es un recurso,Initial,Equipo no inventariado generando eventos,media,T1200,Initial Access,todos,100202,ZTA-DEV-002 - Host no inventariado,requiere-lookup,Necesita zta_asset_inventory.csv
ZTA-DEV-003,Dispositivos,Policy Enforcement & Compliance Monitoring,T5 - Monitorizacion continua de la integridad,Advanced,Fallo de comprobacion SCA del baseline Zero Trust,media,,,wazuh:alerts (sca),100203|100204,ZTA-DEV-003 - Fallo del baseline Zero Trust,listo,Politica SCA incluida en el paquete
ZTA-DEV-004,Dispositivos,Policy Enforcement & Compliance Monitoring,T5 - Monitorizacion continua de la integridad,Initial,Modificacion de fichero critico del sistema,alta,T1543,Persistence,wazuh:alerts (syscheck),100205,ZTA-DEV-004 - FIM en fichero critico,listo,Requiere syscheck configurado
ZTA-DEV-005,Dispositivos,Asset & Supply Chain Risk Management,T3 - Acceso concedido por sesion,Advanced,Vulnerabilidad critica en equipo con acceso a recursos,alta,T1190,Initial Access,wazuh:alerts (vulnerability),100206,ZTA-DEV-005 - CVE critico en endpoint,listo,Requiere Vulnerability Detector activo
ZTA-DEV-006,Dispositivos,Resource Access,T3 - Acceso concedido por sesion,Initial,Montaje de almacenamiento extraible,media,T1091,Initial Access,auth.log / WinEventLog,100207|100208,ZTA-DEV-006 - Almacenamiento extraible,listo,udev / EventID 6416
ZTA-NET-001,Redes,Network Segmentation,T2 - Toda comunicacion asegurada,Advanced,Trafico este-oeste entre segmentos no permitidos,alta,T1021,Lateral Movement,suricata:eve,100300,ZTA-NET-001 - Trafico este-oeste no permitido,requiere-lookup,Necesita zta_network_segments.csv
ZTA-NET-002,Redes,Network Traffic Management,T2 - Toda comunicacion asegurada,Advanced,Salida a Internet evitando el proxy corporativo,media,T1090,Command and Control,suricata:eve / firewall,100301,ZTA-NET-002 - Bypass del proxy de salida,requiere-lookup,Define proxies en zta_network_segments.csv
ZTA-NET-003,Redes,Network Traffic Management,T5 - Monitorizacion continua de la integridad,Advanced,Posible tunel DNS por volumen y longitud de consulta,alta,T1071.004,Command and Control,suricata:eve (dns),100303|100304,ZTA-NET-003 - Tunel DNS,listo,Umbral configurable por macro
ZTA-NET-004,Redes,Traffic Encryption,T2 - Toda comunicacion asegurada,Advanced,Protocolo en claro hacia recurso que exige cifrado,media,T1040,Collection,suricata:eve,100305,ZTA-NET-004 - Trafico sin cifrar hacia recurso protegido,listo,telnet ftp http hacia segmento protegido
ZTA-NET-005,Redes,Network Segmentation,T5 - Monitorizacion continua de la integridad,Initial,Barrido de puertos desde host interno,alta,T1046,Discovery,suricata:eve,100307,ZTA-NET-005 - Escaneo interno,listo,Cardinalidad de puertos destino
ZTA-NET-006,Redes,Network Resilience,T7 - Recoger informacion para mejorar la postura,Advanced,Conexion hacia indicador de C2 conocido,alta,T1071,Command and Control,suricata:eve + MISP,100308,ZTA-NET-006 - Contacto con indicador de C2,requiere-lookup,Alimenta zta_threat_intel.csv desde MISP
ZTA-APP-001,Aplicaciones,Application Access,T3 - Acceso concedido por sesion,Advanced,Acceso a la aplicacion sin pasar por el PEP,alta,T1133,Initial Access,nginx / apache,100400,ZTA-APP-001 - Bypass del Policy Enforcement Point,requiere-lookup,Compara srcip con la IP del proxy ZTNA
ZTA-APP-002,Aplicaciones,Application Threat Protections,T2 - Toda comunicacion asegurada,Initial,Explotacion web contra aplicacion publicada,alta,T1190,Initial Access,suricata:eve / WAF,100401|100402,ZTA-APP-002 - Explotacion web,listo,Firmas web-application-attack
ZTA-APP-003,Aplicaciones,Secure Application Development and Deployment Workflow,T5 - Monitorizacion continua de la integridad,Advanced,Escritura de posible webshell en directorio web,alta,T1505.003,Persistence,wazuh:alerts (syscheck),100403,ZTA-APP-003 - Webshell,listo,FIM sobre docroot
ZTA-APP-004,Aplicaciones,Secure Application Development and Deployment Workflow,T3 - Acceso concedido por sesion,Advanced,Contenedor privilegiado o socket de Docker montado,alta,T1610,Execution,docker,100404|100405,ZTA-APP-004 - Contenedor privilegiado,listo,Requiere modulo docker-listener
ZTA-DAT-001,Datos,Data Access,T3 - Acceso concedido por sesion,Advanced,Acceso masivo a datos sensibles por un usuario,alta,T1530,Collection,audit / fileshare,100451,ZTA-DAT-001 - Acceso masivo a datos clasificados,requiere-lookup,Define rutas en zta_data_classification.csv
ZTA-DAT-002,Datos,Data Access,T5 - Monitorizacion continua de la integridad,Advanced,Volumen de subida anomalo hacia destino externo,alta,T1567,Exfiltration,suricata:eve,100452,ZTA-DAT-002 - Exfiltracion por volumen,listo,Umbral configurable por macro
ZTA-DAT-003,Datos,Data Categorization,T4 - Acceso segun politica dinamica,Optimal,Acceso a datos clasificados desde dispositivo no conforme,alta,T1530,Collection,audit + sca,100453,ZTA-DAT-003 - Datos clasificados desde equipo no conforme,requiere-lookup,Correlaciona ZTA-DEV-003 con ZTA-DAT-001
ZTA-DAT-004,Datos,Data Access,T3 - Acceso concedido por sesion,Advanced,Copia de datos a almacenamiento extraible o nube personal,alta,T1052.001,Exfiltration,audit / proxy,100454,ZTA-DAT-004 - Copia a medio no aprobado,requiere-lookup,Correlaciona con ZTA-DEV-006
ZTA-SUP-001,Librerias,Asset & Supply Chain Risk Management,T5 - Monitorizacion continua de la integridad,Advanced,Carga de libreria desde ruta no estandar,alta,T1574.002,Persistence,sysmon / audit,100500|100501,ZTA-SUP-001 - Sideloading de libreria,requiere-fuente,Sysmon EventID 7 o auditd
ZTA-SUP-002,Librerias,Asset & Supply Chain Risk Management,T1 - Todo recurso es un recurso,Advanced,Instalacion de paquete desde repositorio no aprobado,media,T1195.001,Initial Access,auditd / shell,100502|100503|100504,ZTA-SUP-002 - Instalacion desde repositorio no aprobado,listo,pip npm gem con index externo
ZTA-SUP-003,Librerias,Application Threat Protections,T2 - Toda comunicacion asegurada,Initial,Patron de explotacion de libreria vulnerable,alta,T1190,Initial Access,nginx / app logs,100505|100506|100507,ZTA-SUP-003 - Explotacion de libreria vulnerable,listo,JNDI deserializacion prototype pollution
ZTA-SUP-004,Librerias,Asset & Supply Chain Risk Management,T1 - Todo recurso es un recurso,Advanced,Componente con CVE critico en el inventario de software,alta,T1195,Initial Access,wazuh:alerts (syscollector),100508,ZTA-SUP-004 - Componente de terceros vulnerable,listo,Cruza Syscollector con Vulnerability Detector
ZTA-SUP-005,Librerias,Secure Application Development and Deployment Workflow,T5 - Monitorizacion continua de la integridad,Advanced,Modificacion de fichero de dependencias o lockfile,media,T1195.001,Initial Access,wazuh:alerts (syscheck),100509|100510,ZTA-SUP-005 - Cambio en fichero de dependencias,listo,requirements.txt package-lock.json pom.xml go.sum
ZTA-SUP-006,Librerias,Asset & Supply Chain Risk Management,T1 - Todo recurso es un recurso,Advanced,Imagen de contenedor desde registro no aprobado,media,T1610,Execution,docker,100511,ZTA-SUP-006 - Imagen desde registro no aprobado,requiere-lookup,Define registros en zta_allowed_registries.csv
ZTA-VIS-001,Visibilidad,Visibility and Analytics,T7 - Recoger informacion para mejorar la postura,Advanced,Fuente de log silenciada,alta,T1562.008,Defense Evasion,todos,100600|100601,ZTA-VIS-001 - Fuente de log silenciada,listo,Se evalua en Splunk por metadata
ZTA-VIS-002,Visibilidad,Visibility and Analytics,T5 - Monitorizacion continua de la integridad,Initial,Borrado del registro de auditoria,alta,T1070.002,Defense Evasion,WinEventLog:Security / auditd,100602|100603,ZTA-VIS-002 - Borrado del registro de auditoria,listo,EventID 1102 y auditctl
